close_price|predict
575.91|574.240602269
577.26|580.617939568
577.98|578.148052788
574.04|578.629344586
577.07|569.782755408
579.26|581.039538286
575.82|580.872447457
572.27|571.544342399
570.91|569.544107578
574.71|569.319888169
570.66|578.987378577
572.08|566.086527516
575.72|574.214309926
568.28|578.868926094
569.91|559.955494199
561.22|571.637560706
558.43|552.631234179
555.82|556.828423331
560.32|552.233873714
567.79|566.414409965
571.6|575.659492469
572.34|573.972836167
579.27|571.904069457
579.84|586.797586331
578.02|581.308586638
579.49|575.367463214
579.86|581.22009896
568.28|580.529464339
568.03|557.251017971
575.73|567.769897275
592.48|583.28631362
591.58|608.662084763
598.48|586.751699221
593.96|607.729578013
591.67|588.273493071
598.37|590.286077325
599.07|605.909281416
601.51|597.713664262
606.52|604.769697566
603.85|611.002825346
605.05|599.748781254
614.06|607.858002167
612.12|622.73299489
610.82|607.343060651
615.78|611.395318241
624.75|620.838551893
622.45|633.098850765
619.2|617.521135416
614.81|618.122871542
611.03|610.360082128
611.62|608.00853579
611.89|612.68115325
604.34|611.429802043
608.11|596.513876922
614.5|614.141648095
618.44|619.270671749
619.86|621.153611846
623.37|620.891285968
621.88|627.015210891
620.05|619.383086455
624.65|619.252396579
627.87|629.783052661
631.26|629.559144478
629.84|634.709281681
623.58|627.45712642
625.43|618.303307726
627.02|629.092953348
625.11|627.007119024
619.25|623.274701812
626.46|614.063069842
628.0|635.443973405
626.41|626.407250252
632.27|625.985527043
620.77|638.179348116
621.27|608.122917442
622.2|626.594234624
630.12|620.77020674
632.26|637.881567411
640.3|631.824269676
647.96|648.147656791
650.88|652.66829654
649.46|652.609088972
661.12|648.270279698
658.68|673.196815286
652.26|652.418021319
658.9|650.175254571
675.12|665.576467628
666.69|687.782642031
664.56|654.505673201
673.5|668.81699892
667.76|679.058513923
660.26|660.478989806
659.57|657.827646022
649.87|659.707100391
649.3|641.470173473
648.59|652.463460264
656.11|646.274451833
657.14|663.169398634
652.23|655.132755544
648.38|649.355287018
636.05|646.574697444
631.61|627.348944383
631.94|631.66200907
627.39|631.725001142
629.46|623.90863112
637.34|632.210164587
648.33|641.912786148
660.24|654.888132181
655.71|667.098336172
659.47|649.535050955
658.11|666.230315378
660.51|654.559328504
660.65|663.965613446
662.28|659.451372497
657.68|664.094859235
659.16|653.587682016
660.77|662.125946164
658.5|660.773334579
667.75|656.748962808
669.44|675.671059225
672.67|667.272771926
674.63|676.006261702
669.19|674.825645862
664.55|665.156686468
663.9|663.191109736
661.28|664.1592207
666.07|659.259657495
666.88|670.466221001
659.76|665.440374875
659.72|655.315581942
656.64|662.042886262
656.18|653.643528347
651.31|657.2194613
657.89|647.740947108
663.37|664.070484042
668.48|664.37384191
671.38|670.935424795
674.09|672.0704772
677.04|675.504217377
684.89|678.494747326
686.72|689.908910792
688.55|685.581405234
685.73|690.317164154
683.05|682.993501687
684.2|682.558532715
687.04|685.491498368
687.32|688.445726957
683.95|686.712971911
674.19|681.816869535
682.36|668.781618788
682.45|691.413649476
685.23|678.82731061
687.0|688.040287075
680.95|687.067420583
682.02|676.747476716
688.89|684.933533018
686.39|692.345309691
684.83|682.681329908
678.02|685.419767079
676.18|673.816278825
673.61|677.388252988
676.9|672.046724458
682.25|679.818203292
675.8|684.294574304
676.6|670.441273153
671.4|679.778690083
667.63|667.53910639
666.73|667.319156997
674.14|667.022919972
676.46|678.641371956
670.26|675.504267173
678.17|666.505762529
679.2|684.904601481
673.05|676.896665845
674.26|670.038098993
674.6|676.728603992
674.57|673.950728307
673.25|674.689627802
