k|percent
1|56.65024630541872
2|74.8768472906404
3|81.77339901477832
4|84.23645320197045
5|86.20689655172414
6|87.19211822660098
7|89.16256157635468
8|84.23645320197045
9|87.6847290640394
10|87.19211822660098
11|88.66995073891626
12|89.16256157635468
13|91.13300492610837
14|93.10344827586206
15|90.14778325123153
16|93.5960591133005
17|93.5960591133005
18|96.05911330049261
19|94.58128078817734
20|95.56650246305419
21|96.55172413793103
22|96.55172413793103
