today,tomorrow_reality,tomorrow_predict
595.7,582.86,586.2955877
590.4,573.2,577.409821219
582.86,570.41,566.261236675
573.2,574.42,568.731481433
570.41,574.38,577.607512281
574.42,571.62,574.173719053
574.38,563.62,569.547115291
571.62,574.15,557.733640978
563.62,565.2,582.503995988
574.15,561.04,558.216978871
565.2,563.43,558.340489247
561.04,562.22,565.351224881
563.43,568.0,561.236384082
562.22,572.55,572.329458763
568.0,577.11,575.686893352
572.55,568.18,580.310016114
577.11,566.9,561.48779797
568.18,566.35,566.34012695
566.9,564.27,566.000682834
566.35,566.17,562.761658117
564.27,567.67,567.661008531
566.17,569.9,568.692222445
567.67,576.29,571.469893557
569.9,579.45,580.892906907
576.29,579.03,581.499978557
579.45,574.41,578.577017544
579.03,569.94,571.04809678
574.41,574.57,566.883870446
569.94,565.36,578.183608608
574.57,560.05,558.555101324
565.36,557.87,556.617952295
560.05,564.26,556.514099335
557.87,560.37,568.963479898
564.26,553.03,557.292838308
560.37,543.04,547.956403219
553.03,526.37,536.251956829
543.04,535.77,515.060852481
526.37,529.44,543.176579576
535.77,521.88,524.698906053
529.44,522.24,516.954609997
521.88,542.35,522.821827557
522.24,537.73,556.17809899
542.35,542.69,533.767974219
537.73,539.47,546.207246849
542.69,545.25,537.13607519
539.47,540.56,549.220602193
545.25,536.45,537.2570167
540.56,539.07,533.943103928
536.45,542.15,540.964617633
539.07,544.75,544.088173644
542.15,543.79,546.35194107
544.75,548.05,543.032369345
543.79,547.05,550.934352875
548.05,552.49,546.215176829
547.05,554.03,556.125344143
552.49,560.71,554.833111013
554.03,561.28,565.07747302
560.71,568.04,561.376219794
561.28,562.82,572.530668056
568.04,566.11,559.160963
562.82,559.37,568.464058664
566.11,561.56,554.918944675
559.37,570.18,563.229191894
561.56,570.39,575.716751776
570.18,573.65,570.188419884
570.39,576.2,575.770846901
573.65,574.71,577.730631743
576.2,571.71,573.630124477
574.71,575.91,569.834642235
571.71,577.26,578.757042993
575.91,577.98,577.972831216
577.26,574.04,578.391835747
577.98,577.07,571.485734903
574.04,579.26,579.175414614
577.07,575.82,580.555975813
579.26,572.27,573.505701967
575.82,570.91,570.127586138
572.27,574.71,570.182295557
570.91,570.66,577.225142026
574.71,572.08,567.885207321
570.66,575.72,573.174951045
572.08,568.28,578.009297957
575.72,569.91,563.461134515
568.28,561.22,571.20984232
569.91,558.43,555.676443958
561.22,555.82,557.02993898
558.43,560.32,554.293779267
555.82,567.79,563.252870146
560.32,571.6,572.325289008
567.79,572.34,573.712998358
571.6,579.27,572.650716046
572.34,579.84,583.627782186
579.27,578.02,579.913833545
579.84,579.49,576.848170115
578.02,579.86,580.493615638
579.49,568.28,580.035947798
579.86,568.03,561.194072238
568.28,575.73,568.311918453
568.03,592.48,580.555584898
575.73,591.58,602.765989574
592.48,598.48,590.435056114
591.58,593.96,602.741939023
598.48,591.67,590.993356522
593.96,598.37,590.439188639
591.67,599.07,602.544694721
598.37,601.51,599.249508616
599.07,606.52,602.986967974
601.51,603.85,609.519056688
606.52,605.05,602.02146493
603.85,614.06,605.879679647
605.05,612.12,619.562153556
614.06,610.82,610.586960723
612.12,615.78,610.103306375
610.82,624.75,618.836113585
615.78,622.45,630.028406096
624.75,619.2,620.745600757
622.45,614.81,617.334406112
619.2,611.03,612.303298887
614.81,611.62,608.91917042
611.03,611.89,612.110745559
611.62,604.34,612.030850075
611.89,608.11,599.835489496
604.34,614.5,610.603155753
608.11,618.44,618.206741193
614.5,619.86,620.588769571
618.44,623.37,620.570117363
619.86,621.88,625.438604145
623.37,620.05,620.864550464
621.88,624.65,619.013179252
620.05,627.87,627.458049989
624.65,631.26,629.637826636
627.87,629.84,633.179139974
631.26,623.58,628.867650553
629.84,625.43,619.936649676
623.58,627.02,626.719072609
625.43,625.11,627.903878703
627.02,619.25,623.914298089
625.11,626.46,615.855073843
619.25,628.0,631.00965741
626.46,626.41,628.654527674
628.0,632.27,625.412766556
626.41,620.77,635.831718437
632.27,621.27,613.813643709
620.77,622.2,621.969237695
621.27,630.12,622.729994599
622.2,632.26,634.790936425
630.12,640.3,633.245949129
632.26,647.96,644.962085724
640.3,650.88,652.175091704
647.96,649.46,652.335850651
650.88,661.12,648.54733041
649.46,658.68,667.971352164
661.12,652.26,656.858359458
658.68,658.9,648.643234774
652.26,675.12,662.957445178
658.9,666.69,684.231907396
675.12,664.56,661.367316562
666.69,673.5,663.619728851
664.56,667.76,678.672953866
673.5,660.26,664.213658327
667.76,659.57,656.218823288
660.26,649.87,659.409430448
659.57,649.3,644.427165728
649.87,648.59,649.272644397
649.3,656.11,648.208221363
648.59,657.14,660.367655035
656.11,652.23,657.510367664
657.14,648.38,649.462926698
652.23,636.05,646.363719078
648.38,631.61,629.322209691
636.05,631.94,629.471594886
631.61,627.39,632.26075144
631.94,629.46,624.800091798
627.39,637.34,630.789218846
629.46,648.33,641.79169443
637.34,660.24,654.375642666
648.33,655.71,666.685168902
660.24,659.47,652.80986244
655.71,658.11,661.716980301
659.47,660.51,657.226228645
658.11,660.65,661.902236558
660.51,662.28,660.656708407
660.65,657.68,663.175426566
662.28,659.16,655.11156719
657.68,660.77,660.095317913
659.16,658.5,661.620294107
660.77,667.75,657.190190049
658.5,669.44,672.917537862
667.75,672.67,670.124807233
669.44,674.63,674.39809872
672.67,669.19,675.617789283
674.63,664.55,666.150174446
669.19,663.9,662.155809783
664.55,661.28,663.684136674
663.9,666.07,659.851796776
661.28,666.88,668.818743175
666.07,659.76,667.188145597
666.88,659.72,655.808214112
659.76,656.64,659.920150973
659.72,656.18,654.936772551
656.64,651.31,656.013797925
656.18,657.89,648.651313675
651.31,663.37,661.671596986
657.89,668.48,666.209072235
663.37,671.38,671.137424784
668.48,674.09,672.821596268
671.38,677.04,675.483054075
674.09,684.89,678.576491052
677.04,686.72,689.067259517
684.89,688.55,687.489789085
686.72,685.73,689.494100953
688.55,683.05,684.140135556
685.73,684.2,681.682064995
683.05,687.04,684.891138213
684.2,687.32,688.533791489
687.04,683.95,687.39425702
687.32,674.19,682.136791667
683.95,682.36,669.025108816
674.19,682.45,687.01190538
682.36,685.23,682.293120249
682.45,687.0,686.724117827
685.23,680.95,687.875640341
687.0,682.02,677.665325128
