look_back|batch_size|percent
14|20|55.4089709762533
14|25|53.562005277044854
14|30|54.35356200527705
14|35|53.562005277044854
14|40|53.562005277044854
14|45|54.08970976253298
14|50|55.145118733509236
14|60|53.82585751978892
14|70|54.88126649076517
14|80|53.29815303430079
14|90|52.770448548812666
14|100|53.562005277044854
14|110|54.08970976253298
14|120|52.24274406332454
14|130|53.562005277044854
14|140|53.29815303430079
14|150|53.82585751978892
14|160|53.03430079155673
14|170|55.67282321899736
14|180|53.562005277044854
14|190|52.5065963060686
14|200|54.88126649076517
14|220|54.08970976253298
14|240|53.03430079155673
14|260|53.82585751978892
14|280|54.08970976253298
14|300|54.35356200527705
14|320|53.562005277044854
14|340|53.29815303430079
14|360|54.35356200527705
14|380|53.82585751978892
