close_price|predict
539.47|543.400717036
545.25|536.282015334
540.56|551.373334785
536.45|535.663734453
539.07|532.044964401
542.15|542.124355736
544.75|545.598542799
543.79|547.172074801
548.05|542.468845186
547.05|552.480103002
552.49|545.943592455
554.03|558.070960627
560.71|555.474666436
561.28|567.561326292
568.04|561.39481325
562.82|574.952300643
566.11|556.809762241
559.37|569.715082502
561.56|552.520039477
570.18|564.273961763
570.39|579.519910567
573.65|569.594563481
576.2|576.530675316
574.71|578.714583068
571.71|572.877757585
575.91|568.682423338
577.26|580.832436287
577.98|578.363781961
574.04|578.322189765
577.07|569.834954175
579.26|580.712328084
575.82|581.433425472
572.27|571.854074168
570.91|568.932872845
574.71|570.133394678
570.66|578.965306454
572.08|566.036718962
575.72|573.794267336
568.28|579.500402943
569.91|560.247647943
561.22|572.424613035
558.43|552.744756848
555.82|556.711551874
560.32|553.769535779
567.79|565.036651348
571.6|574.657134234
572.34|574.241212271
579.27|572.431036732
579.84|586.252767153
578.02|579.501087639
579.49|576.077119948
579.86|581.340281858
568.28|580.112123188
568.03|557.026636724
575.73|569.614046206
592.48|583.341188927
591.58|608.117091298
598.48|587.280508952
593.96|606.209053965
591.67|588.341713734
598.37|590.763547273
599.07|605.337248666
601.51|598.271156549
606.52|603.935413632
603.85|610.965030103
605.05|600.323378503
614.06|607.019336176
612.12|622.701075587
610.82|608.222410059
615.78|610.445656734
624.75|620.905901124
622.45|632.582938225
619.2|618.206379609
614.81|617.185086405
611.03|611.250785048
611.62|608.377176352
611.89|612.833977494
604.34|611.749617524
608.11|597.0382548
614.5|613.584653769
618.44|619.313272316
619.86|620.942700446
623.37|620.575279889
621.88|626.75661972
620.05|619.671505492
624.65|618.958873441
627.87|629.535541124
631.26|629.752104383
629.84|634.063077633
623.58|627.747462606
625.43|618.257893679
627.02|628.760788434
625.11|627.693010566
619.25|623.001495485
626.46|614.231305981
628.0|634.829663763
626.41|627.3333831
632.27|624.972798769
620.77|638.314644132
621.27|608.696319585
622.2|625.043235359
630.12|622.083554096
632.26|637.470525467
640.3|632.22189157
647.96|647.898750963
650.88|653.288457224
649.46|652.371237879
661.12|647.950713198
658.68|673.011225204
652.26|653.264978361
658.9|648.003148496
675.12|666.481910195
666.69|688.50423738
664.56|655.230679584
673.5|666.305930762
667.76|681.373460124
660.26|660.275224147
659.57|655.823875678
649.87|660.200803869
649.3|641.003434587
648.59|651.217412343
656.11|647.205688782
657.14|663.075358691
652.23|655.995074685
648.38|648.299211235
636.05|646.232249634
631.61|626.146293766
631.94|630.483160992
627.39|632.303855958
629.46|623.140028248
637.34|632.200603735
648.33|643.372484255
660.24|656.384405527
655.71|668.772082834
659.47|649.477436862
658.11|665.219454458
660.51|655.569143705
660.65|663.555193954
662.28|659.939847383
657.68|663.944026835
659.16|653.276008198
660.77|661.766567678
658.5|661.394242206
667.75|656.311155457
669.44|676.549437609
672.67|668.410612912
674.63|675.939136553
669.19|675.530260739
664.55|664.352031217
663.9|662.108890998
661.28|664.072351396
666.07|658.882576494
666.88|670.81661129
659.76|666.108738189
659.72|653.901073799
656.64|661.478347826
656.18|653.508082943
651.31|656.611027598
657.89|646.994354115
663.37|664.711708479
668.48|666.005959029
671.38|672.088254409
674.09|672.935186553
677.04|676.176016622
684.89|679.175335584
686.72|691.269464855
688.55|686.547922723
685.73|690.388272991
683.05|682.96240402
684.2|681.729825945
687.04|685.651916518
687.32|689.025079734
683.95|686.924206986
674.19|681.204626431
682.36|666.875125134
682.45|691.476766038
685.23|679.802343233
687.0|688.310206859
680.95|687.596504192
682.02|675.840590062
688.89|684.548409946
686.39|693.933182971
684.83|682.742529321
678.02|684.695034575
676.18|672.573417854
673.61|676.338999271
676.9|671.387050564
682.25|680.147953095
675.8|685.576575012
676.6|669.486383054
671.4|679.280529854
667.63|666.597287769
666.73|666.051696751
674.14|666.482607341
676.46|680.106423144
670.26|676.310939167
678.17|665.322258515
679.2|686.240805249
673.05|677.471761055
674.26|668.667286932
674.6|676.910509162
674.57|674.15048538
673.25|674.551966472
674.29|672.217450402
681.91|675.47643115
683.16|687.537197032
678.18|682.086216664
675.87|674.531799049
665.29|675.663415523
658.26|657.928059866
665.07|656.186714993
666.54|671.806931317
665.14|664.852531862
660.21|664.02653898
651.49|657.251505094
653.53|646.776944323
658.89|657.60065048
663.07|661.458802855
659.7|664.306417985
654.66|656.241988668
665.14|652.568355758
665.92|674.474832306
675.16|662.043359325
674.33|681.96765214
662.66|670.568278117
666.94|655.727644706
664.15|674.832044661
664.37|660.05251107
662.45|665.520272725
663.86|661.204543946
663.5|665.470576212
664.72|662.633617449
664.87|665.641750321
672.01|664.506125262
674.7|676.567638085
675.81|673.475001223
679.8|675.684180498
682.57|682.280122695
681.07|683.302262433
687.16|679.172198429
686.96|691.925005672
685.06|684.369069276
677.94|684.054009323
684.71|674.475056388
683.28|692.114529645
682.31|679.056397588
686.26|682.270785925
687.15|689.395911324
691.36|685.776381881
697.28|693.683729386
703.18|699.718096015
700.35|705.105536554
700.04|696.406704867
701.91|701.266356494
702.04|703.215873983
700.65|701.303379898
703.78|699.793313031
705.9|706.402276909
706.26|706.014539542
711.57|705.811695111
709.35|714.992353904
707.83|705.915644479
710.59|707.887669806
716.55|713.037134762
717.24|719.245314693
716.87|715.781696854
714.47|716.37307539
717.44|713.139814329
710.79|720.259985015
709.52|705.456897867
707.51|711.584930968
712.62|706.934422979
716.29|716.392197094
716.54|716.211138458
716.6|715.011948671
715.8|716.684724309
712.21|715.388407221
710.17|710.409045758
714.71|710.553105888
713.14|718.367259984
714.92|710.031441898
710.54|716.569247143
715.07|707.381143832
716.18|719.705679679
712.94|714.76640408
719.56|710.2870702
722.14|725.040361245
723.52|720.348945756
719.26|722.508478315
720.47|716.483025188
723.86|723.468671699
722.31|725.338839095
722.38|719.419426773
724.14|723.152441537
723.22|725.305774481
727.95|721.730264795
729.87|730.864936886
731.33|728.458191566
725.58|730.993236549
724.35|722.100523729
718.45|727.10074976
710.83|716.583389237
714.93|710.162928512
716.77|721.439754322
712.66|715.439946189
712.41|709.075680368
709.39|714.620451698
707.58|708.467296462
710.04|708.210672238
716.53|712.333167233
717.73|718.17723805
719.54|714.34393393
722.02|719.417708807
720.0|722.568656907
718.86|717.604881625
722.11|719.435037851
724.31|724.675579882
724.99|723.476987648
725.37|723.740309448
725.35|725.222565191
725.03|725.256127765
727.2|724.929091849
726.99|728.502261119
733.82|725.635399795
744.1|736.865018897
740.93|744.800202425
742.74|732.671738739
741.91|745.421458623
743.41|741.538184114
746.25|744.365233452
738.21|746.815550363
737.82|732.669647303
741.8|742.660339327
738.81|744.57604526
743.49|734.579203417
751.31|747.016602135
753.46|752.428218682
750.13|750.283749444
749.72|746.96937053
751.09|750.928683691
756.89|752.060449553
760.77|758.454169769
760.57|759.394270425
761.24|758.152853541
766.83|761.935739105
767.99|769.728879244
767.41|765.747655797
766.3|766.316501596
769.01|766.240089474
772.52|771.150657618
767.51|772.984000795
769.04|762.929046898
771.75|772.59840466
776.47|772.522390907
778.88|777.118272569
775.54|777.408982227
778.32|772.484122601
782.65|781.800674963
775.73|783.491128218
766.56|769.643379333
769.36|766.106785302
774.17|776.556124346
778.3|774.946166494
777.6|776.968610377
768.91|774.688272469
767.49|765.246756783
771.3|772.267285464
768.41|774.296202841
761.86|764.510869951
759.74|760.260423865
767.27|762.922349322
773.88|772.253591535
771.5|772.239399645
777.09|765.918157659
783.55|781.272462785
786.81|783.506291132
786.23|783.923831468
788.49|783.891140325
788.68|790.198489199
792.98|787.538829465
791.57|794.850839643
773.66|788.392359593
773.43|766.726970885
772.08|785.274650393
776.17|772.452103705
771.06|777.424941878
773.57|766.104245701
767.59|777.738657336
