look_back|percent
1|50.765306122448976
2|53.19693094629156
3|52.56410256410256
4|53.2133676092545
5|53.350515463917525
6|54.00516795865633
7|54.145077720207254
8|53.246753246753244
9|52.604166666666664
12|52.493438320209975
14|53.03430079155673
16|53.84615384615385
18|53.86666666666667
20|53.61930294906166
22|53.36927223719677
