look_back|batch_size|percent
30|20|55.09641873278237
30|25|54.269972451790636
30|30|53.71900826446281
30|35|52.892561983471076
30|40|53.99449035812672
30|45|54.269972451790636
30|50|52.617079889807165
30|60|53.71900826446281
30|70|51.515151515151516
30|80|52.617079889807165
30|90|54.269972451790636
30|100|51.239669421487605
30|110|53.71900826446281
30|120|52.617079889807165
30|130|52.34159779614325
30|140|53.16804407713499
30|150|48.760330578512395
30|160|52.617079889807165
30|170|52.34159779614325
30|180|52.617079889807165
30|190|54.54545454545455
30|200|53.16804407713499
30|220|53.4435261707989
30|240|52.892561983471076
30|260|53.4435261707989
30|280|53.4435261707989
30|300|52.892561983471076
30|320|53.16804407713499
30|340|52.06611570247934
30|360|53.71900826446281
30|380|52.892561983471076
