close_price|predict
[ 0.41365029]|[ 0.41125634]|[ 0.42427942]|[ 0.4279661]|[ 0.44395767]|[ 0.44532223]|[ 0.46150531]|[ 0.44900891]|[ 0.45688499]|[ 0.44074978]|[ 0.44599253]|[ 0.46662836]|[ 0.46713109]|[ 0.47493536]|[ 0.48103993]|[ 0.47747295]|[ 0.4702911]|[ 0.48034569]|[ 0.48357752]|[ 0.48530116]|[ 0.475869]|[ 0.48312267]|[ 0.48836541]|[ 0.48013023]|[ 0.47163172]|[ 0.46837595]|[ 0.47747295]|[ 0.46777746]|[ 0.47117686]|[ 0.47989084]|[ 0.46207986]|[ 0.465982]|[ 0.44517859]|[ 0.43849947]|[ 0.43225127]|[ 0.44302404]|[ 0.46090683]|[ 0.47002777]|[ 0.47179929]|[ 0.48838935]|[ 0.4897539]|[ 0.48539692]|[ 0.48891602]|[ 0.48980178]|[ 0.46207986]|[ 0.46148138]|[ 0.47991478]|[ 0.52001341]|[ 0.51785885]|[ 0.53437709]|[ 0.52355645]|[ 0.51807431]|[ 0.53411376]|[ 0.53578952]|[ 0.54163076]|[ 0.55362444]|[ 0.5472326]|[ 0.55010533]|[ 0.57167481]|[ 0.56703055]|[ 0.56391841]|[ 0.5757924]|[ 0.59726611]|[ 0.59176003]|[ 0.5839797]|[ 0.57347027]|[ 0.56442114]|[ 0.56583357]|[ 0.56647994]|[ 0.54840563]|[ 0.55743081]|[ 0.57272814]|[ 0.5821603]|[ 0.58555971]|[ 0.59396246]|[ 0.59039548]|[ 0.58601456]|[ 0.59702672]|[ 0.60473523]|[ 0.61285071]|[ 0.60945131]|[ 0.59446519]|[ 0.598894]|[ 0.60270037]|[ 0.59812793]|[ 0.5840994]|[ 0.60135976]|[ 0.60504644]|[ 0.60124007]|[ 0.6152686]|[ 0.5877382]|[ 0.58893517]|[ 0.59116154]|[ 0.61012161]|[ 0.61524466]|[ 0.634492]|[ 0.65282965]|[ 0.65981998]|[ 0.65642057]|[ 0.684334]|[ 0.67849277]|[ 0.66312362]|[ 0.67901944]|[ 0.71784928]|[ 0.69766829]|[ 0.69256919]|[ 0.71397108]|[ 0.70022982]|[ 0.68227521]|[ 0.68062338]|[ 0.65740209]|[ 0.65603754]|[ 0.65433783]|[ 0.67234032]|[ 0.67480609]|[ 0.66305181]|[ 0.6538351]|[ 0.62431772]|[ 0.6136886]|[ 0.6144786]|[ 0.60358613]|[ 0.60854161]|[ 0.62740592]|[ 0.65371541]|[ 0.68222733]|[ 0.67138274]|[ 0.68038399]|[ 0.67712822]|[ 0.6828737]|[ 0.68320885]|[ 0.68711098]|[ 0.67609882]|[ 0.67964187]|[ 0.68349612]|[ 0.67806186]|[ 0.70020588]|[ 0.70425165]|[ 0.7119841]|[ 0.71667624]|[ 0.70365316]|[ 0.69254525]|[ 0.69098918]|[ 0.68471704]|[ 0.69618405]|[ 0.69812314]|[ 0.68107823]|[ 0.68098248]|[ 0.67360912]|[ 0.6725079]|[ 0.66084937]|[ 0.67660155]|[ 0.68972039]|[ 0.70195346]|[ 0.70889591]|[ 0.71538351]|[ 0.72244566]|[ 0.74123815]|[ 0.74561907]|[ 0.75]|[ 0.74324907]|[ 0.73683329]|[ 0.73958633]|[ 0.74638514]|[ 0.74705544]|[ 0.73898784]|[ 0.71562291]|[ 0.73518146]|[ 0.73539692]|[ 0.74205209]|[ 0.74628938]|[ 0.73180599]|[ 0.73436752]|[ 0.75081394]|[ 0.74482907]|[ 0.74109451]|[ 0.72479173]|[ 0.72038686]|[ 0.71423442]|[ 0.7221105]|[ 0.73491813]|[ 0.71947716]|[ 0.72139232]|[ 0.70894379]|[ 0.69991861]|[ 0.69776405]|[ 0.71550321]|[ 0.72105717]|[ 0.70621469]|[ 0.72515082]|[ 0.72761659]|[ 0.7128938]|[ 0.71579048]|[ 0.71660442]|[ 0.71653261]|[ 0.71337259]|[ 0.7158623]|[ 0.73410418]|[ 0.73709662]|[ 0.72517476]|[ 0.71964474]|[ 0.69431677]|[ 0.67748731]|[ 0.6937901]|[ 0.6973092]|[ 0.69395767]|[ 0.68215551]|[ 0.66128028]|[ 0.66616394]|[ 0.6789955]|[ 0.6890022]|[ 0.6809346]|[ 0.6688691]|[ 0.69395767]|[ 0.69582495]|[ 0.71794503]|[ 0.71595806]|[ 0.68802068]|[ 0.69826678]|[ 0.69158767]|[ 0.69211433]|[ 0.68751795]|[ 0.69089342]|[ 0.6900316]|[ 0.69295222]|[ 0.69331131]|[ 0.7104041]|[ 0.71684382]|[ 0.7195011]|[ 0.72905295]|[ 0.73568419]|[ 0.73209327]|[ 0.74667241]|[ 0.74619362]|[ 0.74164512]|[ 0.72460021]|[ 0.74080724]|[ 0.73738389]|[ 0.73506176]|[ 0.74451786]|[ 0.74664847]|[ 0.75672699]|[ 0.77089917]|[ 0.78502346]|[ 0.77824859]|[ 0.77750646]|[ 0.78198315]|[ 0.78229436]|[ 0.77896677]|[ 0.78645983]|[ 0.791535]|[ 0.79239682]|[ 0.80510869]|[ 0.79979412]|[ 0.79615532]|[ 0.80276262]|[ 0.81703055]|[ 0.81868237]|[ 0.81779661]|[ 0.81205113]|[ 0.81916116]|[ 0.80324141]|[ 0.80020109]|[ 0.79538926]|[ 0.80762233]|[ 0.81640812]|[ 0.81700661]|[ 0.81715024]|[ 0.81523509]|[ 0.80664081]|[ 0.80175716]|[ 0.81262568]|[ 0.80886718]|[ 0.81312841]|[ 0.80264292]|[ 0.8134875]|[ 0.81614479]|[ 0.80838839]|[ 0.82423633]|[ 0.83041272]|[ 0.83371637]|[ 0.82351815]|[ 0.82641482]|[ 0.83453031]|[ 0.83081969]|[ 0.83098726]|[ 0.83520061]|[ 0.83299818]|[ 0.84432156]|[ 0.84891794]|[ 0.8524131]|[ 0.8386479]|[ 0.83570334]|[ 0.82157905]|[ 0.80333716]|[ 0.81315235]|[ 0.81755722]|[ 0.80771809]|[ 0.8071196]|[ 0.79988988]|[ 0.79555683]|[ 0.80144594]|[ 0.81698267]|[ 0.81985541]|[ 0.82418845]|[ 0.83012544]|[ 0.82528967]|[ 0.82256057]|[ 0.8303409]|[ 0.83560758]|[ 0.83723547]|[ 0.83814517]|[ 0.83809729]|[ 0.83733123]|[ 0.84252609]|[ 0.84202336]|[ 0.85837403]|[ 0.88298382]|[ 0.875395]|[ 0.87972805]|[ 0.87774107]|[ 0.88133199]|[ 0.88813081]|[ 0.86888346]|[ 0.86794982]|[ 0.87747774]|[ 0.87031983]|[ 0.88152351]|[ 0.90024418]|[ 0.90539117]|[ 0.89741932]|[ 0.89643781]|[ 0.89971751]|[ 0.91360241]|[ 0.92289093]|[ 0.92241214]|[ 0.92401609]|[ 0.93739826]|[ 0.94017524]|[ 0.93878675]|[ 0.93612946]|[ 0.94261706]|[ 0.95101982]|[ 0.93902614]|[ 0.94268888]|[ 0.94917648]|[ 0.96047592]|[ 0.96624533]|[ 0.95824955]|[ 0.96490472]|[ 0.97527052]|[ 0.9587044]|[ 0.93675189]|[ 0.94345495]|[ 0.95496984]|[ 0.96485684]|[ 0.96318108]|[ 0.94237767]|[ 0.93897826]|[ 0.94809921]|[ 0.9411807]|[ 0.92550034]|[ 0.92042517]|[ 0.93845159]|[ 0.95427559]|[ 0.94857799]|[ 0.96196016]|[ 0.97742507]|[ 0.98522934]|[ 0.98384085]|[ 0.98925117]|[ 0.98970602]|[ 1.]|[ 0.99662453]|[ 0.95374892]|[ 0.95319831]|[ 0.94996648]|[ 0.95975773]|[ 0.94752466]|[ 0.95353347]|547.05|545.694375402
552.49|547.50034317
554.03|555.618427789
560.71|556.704978788
561.28|565.804245849
568.04|563.999137063
562.82|572.748250366
566.11|561.651823394
559.37|566.391603349
561.56|555.539027901
570.18|560.59820007
570.39|575.67673437
573.65|574.172020584
576.2|576.811002486
574.71|578.717296956
571.71|574.494661994
575.91|569.130389093
577.26|576.857835722
577.98|579.151157964
574.04|579.435331883
577.07|572.127392536
579.26|577.406526548
575.82|581.088512754
572.27|574.819071165
570.91|569.231437838
574.71|568.451767782
570.66|576.054910885
572.08|569.631997702
575.72|572.139903808
568.28|578.023064566
569.91|565.290474541
561.22|568.765508138
558.43|556.149876714
555.82|554.259429854
560.32|552.889065958
567.79|562.012284945
571.6|573.33813502
572.34|576.528621227
579.27|574.575319234
579.84|583.484215788
578.02|581.977472811
579.49|577.542395219
579.86|579.73525382
568.28|580.225820143
568.03|562.98947125
575.73|564.63767251
592.48|578.932515719
591.58|602.994541137
598.48|595.439575765
593.96|602.638972054
591.67|593.547249103
598.37|590.24716167
599.07|601.048559172
601.51|600.637318044
606.52|603.114425259
603.85|609.442165637
605.05|603.807537236
614.06|605.438608637
612.12|618.410493841
610.82|612.996686265
615.78|610.480937274
624.75|617.742255018
622.45|629.044750719
619.2|623.286951654
614.81|618.317424922
611.03|612.983813972
611.62|608.69497509
611.89|610.985297117
604.34|611.683089929
608.11|601.161023674
614.5|608.262645311
618.44|616.752408054
619.86|620.617332699
623.37|621.218670456
621.88|625.255491254
620.05|622.203064747
624.65|619.697772937
627.87|626.125503893
631.26|629.452331834
629.84|632.970949471
623.58|630.101772628
625.43|621.806712654
627.02|625.492446017
625.11|627.44191371
619.25|624.631969333
626.46|617.457346606
628.0|627.791830935
626.41|628.796766119
632.27|626.290702469
620.77|633.802519517
621.27|618.361046309
622.2|620.541692417
630.12|622.078599384
632.26|631.818443532
640.3|633.360728478
647.96|642.561878369
650.88|650.545289423
649.46|652.659283445
661.12|650.120453959
658.68|663.674853992
652.26|659.320632825
658.9|651.720801163
675.12|659.896076608
666.69|677.610990963
664.56|666.667525175
673.5|664.543073971
667.76|674.647151725
660.26|667.546077845
659.57|659.42973609
649.87|659.159467733
649.3|648.53141047
648.59|648.614395678
656.11|648.055782979
657.14|656.613915772
652.23|657.389963162
648.38|651.833763626
636.05|647.822264147
631.61|634.431494112
631.94|630.282432895
627.39|631.203835113
629.46|626.359097419
637.34|629.122731419
648.33|637.918441427
660.24|649.467651927
655.71|661.712688293
659.47|656.125291498
658.11|660.062744169
660.51|658.362680266
660.65|660.862121034
662.28|660.868918202
657.68|662.534672589
659.16|657.532180836
660.77|659.216309986
658.5|660.897003205
667.75|658.420742524
669.44|668.243995147
672.67|669.745571778
674.63|673.012121534
669.19|674.916125383
664.55|669.095234654
663.9|664.322004166
661.28|663.764238
666.07|661.072534473
666.88|666.178104162
659.76|666.946433156
659.72|659.496288583
656.64|659.591025672
656.18|656.425238333
651.31|656.03476218
657.89|651.007347476
663.37|657.975366166
668.48|663.574514842
671.38|668.735333309
674.09|671.606302812
677.04|674.300097775
684.89|677.244815309
686.72|685.185426612
688.55|686.926696792
685.73|688.716269193
683.05|685.775037386
684.2|683.033662245
687.04|684.226079762
687.32|687.115150149
683.95|687.368736811
674.19|683.913235736
682.36|674.021637959
682.45|682.383773286
685.23|682.464667058
687.0|685.273764901
680.95|687.049419291
682.02|680.900471826
688.89|682.004401665
686.39|688.960469289
684.83|686.40351402
678.02|684.821217904
676.18|677.943429756
673.61|676.11416986
676.9|673.539362688
682.25|676.89263236
675.8|682.295260711
676.6|675.761613441
671.4|676.586685095
667.63|671.345645103
666.73|667.561340351
674.14|666.67780807
676.46|674.165847478
670.26|676.489532895
678.17|670.235142179
679.2|678.200477247
673.05|679.224907606
674.26|673.035152233
674.6|674.257073941
674.57|674.600144203
673.25|674.56937021
674.29|673.243573828
681.91|674.29058672
683.16|681.938670807
678.18|683.183399131
675.87|678.178317981
665.29|675.861056261
658.26|665.257573376
665.07|658.21575686
666.54|665.059733453
665.14|666.535291619
660.21|665.133132911
651.49|660.19261241
653.53|651.456085072
658.89|653.510846627
663.07|658.888203454
659.7|663.075582774
654.66|659.697838316
665.14|654.648861899
665.92|665.146876636
675.16|665.925687709
674.33|675.171753685
662.66|674.338789349
666.94|662.657569375
664.15|666.9407564
664.37|664.148639028
662.45|664.369036586
663.86|662.44812696
663.5|663.859572642
664.72|663.499272928
664.87|664.720099123
672.01|664.870284173
674.7|672.01435699
675.81|674.704292755
679.8|675.813799758
682.57|679.804086096
681.07|682.573845017
687.16|681.072741449
686.96|687.163377676
685.06|686.962699375
677.94|685.061509006
684.71|677.939172189
683.28|684.711143615
682.31|683.280526433
686.26|682.310050154
687.15|686.260922875
691.36|687.150779262
697.28|691.361139483
703.18|697.281473033
700.35|703.181439977
700.04|700.350880013
701.91|700.040700078
702.04|701.91066829
700.65|702.040511632
703.78|700.650303988
705.9|703.780512011
706.26|705.900456667
711.57|706.260457604
709.35|711.570490098
707.83|709.350380578
710.59|707.830155306
716.55|710.590303578
717.24|716.550000949
716.87|717.240174956
714.47|716.870214798
717.44|714.470167055
710.79|717.440156112
709.52|710.789936161
707.51|709.519861619
712.62|707.50989166
716.29|712.619992795
716.54|716.290090182
716.6|716.540041728
715.8|716.600046034
712.21|715.800046718
710.17|712.209996569
714.71|710.169924865
713.14|714.710009992
714.92|713.139963717
710.54|714.920000165
715.07|710.539934819
716.18|715.069936235
712.94|716.179966097
719.56|712.940057256
722.14|719.56007587
723.52|722.140061836
719.26|723.520086176
720.47|719.260004544
723.86|720.470000086
722.31|723.860019283
722.38|722.309966145
724.14|722.380004365
723.22|724.140022779
727.95|723.219940157
729.87|727.949972525
731.33|729.870010719
725.58|731.330007603
724.35|725.57997673
718.45|724.349988053
710.83|718.45002111
714.93|710.829897535
716.77|714.930009181
712.66|716.769950342
712.41|712.659954169
709.39|712.410002623
707.58|709.389968481
710.04|707.580004575
716.53|710.040006828
717.73|716.529933119
719.54|717.729994338
722.02|719.540008039
720.0|722.020003428
718.86|719.999999554
722.11|718.859942641
724.31|722.110009887
724.99|724.310001781
725.37|724.989967587
725.35|725.37008615
725.03|725.349993422
727.2|725.030028553
726.99|727.1999436
733.82|726.990028121
744.1|733.820012009
740.93|744.099969604
742.74|740.929999392
741.91|742.739963298
743.41|741.909961829
746.25|743.410019679
738.21|746.249991107
737.82|738.210011678
741.8|737.81998369
738.81|741.800012031
743.49|738.81000494
751.31|743.489992223
753.46|751.309922667
750.13|753.459993966
749.72|750.130003972
751.09|749.719982848
756.89|751.089948375
760.77|756.890024333
760.57|760.7700123
761.24|760.570031145
766.83|761.239963036
767.99|766.830023923
767.41|767.989999278
766.3|767.409949355
769.01|766.300019085
772.52|769.010047579
767.51|772.520025592
769.04|767.509964831
771.75|769.039975038
776.47|771.749928837
778.88|776.470001984
775.54|778.880008948
778.32|775.540009937
782.65|778.320001957
775.73|782.64999732
766.56|775.730006974
769.36|766.560004547
774.17|769.359989703
778.3|774.169994614
777.6|778.300008821
768.91|777.600000083
767.49|768.910007205
771.3|767.489996593
768.41|771.299996135
761.86|768.41000452
759.74|761.85999923
767.27|759.740004778
773.88|767.269997404
771.5|773.880007
777.09|771.500002189
783.55|777.089988382
786.81|783.550012112
786.23|786.809988782
788.49|786.229988656
788.68|788.490009754
792.98|788.68000679
791.57|792.98
773.66|791.569998405
773.43|773.660007811
772.08|773.429999604
776.17|772.080002315
771.06|776.170005352
773.57|771.06000381
767.59|773.570001352
