k|percent
1|56.73076923076923
2|74.03846153846153
3|82.21153846153847
4|78.84615384615384
5|80.28846153846153
6|83.65384615384616
7|85.09615384615384
8|87.98076923076923
9|84.13461538461539
10|84.13461538461539
11|89.90384615384616
12|87.01923076923077
13|89.42307692307692
14|89.90384615384616
15|90.38461538461539
16|90.38461538461539
17|96.63461538461539
18|90.38461538461539
19|90.86538461538461
20|91.34615384615384
21|91.34615384615384
22|89.42307692307692
