Date,Open,High,Low,Close,Adj Close,Volume
2013-06-03,2300.208984,2313.425049,2294.113037,2299.251953,2299.251953,96800
2013-06-04,2297.100098,2297.100098,2264.760986,2272.416992,2272.416992,101800
2013-06-05,2270.711914,2276.864990,2260.871094,2270.929932,2270.929932,76400
2013-06-06,2264.425049,2266.691895,2240.070068,2242.110107,2242.110107,81600
2013-06-07,2242.262939,2250.628906,2205.065918,2210.897949,2210.897949,90000
2013-06-13,2190.101074,2190.101074,2126.216064,2148.354980,2148.354980,94400
2013-06-14,2150.060059,2163.845947,2142.780029,2162.041016,2162.041016,77800
2013-06-17,2165.993896,2169.355957,2147.029053,2156.215088,2156.215088,75800
2013-06-18,2158.545898,2161.680908,2138.346924,2159.291016,2159.291016,69600
2013-06-19,2150.815918,2150.815918,2115.791992,2143.454102,2143.454102,75400
2013-06-20,2132.812988,2132.812988,2082.824951,2084.020996,2084.020996,77800
2013-06-21,2058.979004,2085.860107,2042.879028,2073.094971,2073.094971,79600
2013-06-24,2068.862061,2068.862061,1958.401001,1963.234985,1963.234985,109200
2013-06-25,1948.314941,1963.566040,1849.652954,1959.508057,1959.508057,138200
2013-06-26,1954.473999,1959.157959,1922.823975,1951.494995,1951.494995,101200
2013-06-27,1955.125977,1980.540039,1942.370972,1950.011963,1950.011963,105800
2013-06-28,1935.515991,1987.984009,1925.651001,1979.206055,1979.206055,100800
2013-07-01,1965.987061,1995.916016,1957.571045,1995.241943,1995.241943,78000
2013-07-02,1992.890015,2007.619995,1978.427979,2006.560059,2006.560059,86400
2013-07-03,1996.505981,1996.536987,1965.519043,1994.267944,1994.267944,93400
2013-07-04,1982.869995,2022.135986,1974.103027,2006.098022,2006.098022,100400
2013-07-05,2006.191040,2021.541016,2002.366943,2007.198975,2007.198975,91400
2013-07-08,1983.213989,1983.213989,1953.120972,1958.272949,1958.272949,84200
2013-07-09,1953.602051,1969.149048,1946.365967,1965.453979,1965.453979,64600
2013-07-10,1962.839966,2009.359985,1960.276978,2008.125977,2008.125977,89800
2013-07-11,2011.020020,2092.867920,2010.400024,2072.990967,2072.990967,160000
2013-07-12,2068.043945,2074.856934,2036.050049,2039.485962,2039.485962,121200
2013-07-15,2046.119019,2076.665039,2037.248047,2059.389893,2059.389893,101400
2013-07-16,2054.600098,2066.363037,2038.535034,2065.719971,2065.719971,96800
2013-07-17,2061.186035,2075.812988,2043.230957,2044.921997,2044.921997,103200
2013-07-18,2038.400024,2043.371948,2016.899048,2023.395996,2023.395996,92200
2013-07-19,2025.317017,2035.219971,1990.253052,1992.647949,1992.647949,104600
2013-07-22,1977.733032,2005.473999,1970.639038,2004.761963,2004.761963,83000
2013-07-23,2008.954956,2051.525879,2005.092041,2043.875977,2043.875977,109600
2013-07-24,2035.691040,2042.772949,2010.423950,2033.328979,2033.328979,106600
2013-07-25,2037.336060,2045.364990,2016.431030,2021.173950,2021.173950,98600
2013-07-26,2013.189941,2021.573975,2000.796997,2010.849976,2010.849976,73800
2013-07-29,1997.838013,1997.838013,1969.853027,1976.306030,1976.306030,78700
2013-07-30,1981.452026,2006.232056,1965.360962,1990.063965,1990.063965,77200
2013-07-31,2000.793945,2015.472046,1987.880005,1993.798950,1993.798950,70200
2013-08-01,2000.817993,2029.927979,1997.057983,2029.067017,2029.067017,91200
2013-08-02,2039.514038,2047.083984,2025.654053,2029.417969,2029.417969,93600
2013-08-05,2031.723999,2050.910889,2025.225952,2050.480957,2050.480957,85500
2013-08-06,2043.652954,2066.739990,2034.957031,2060.500000,2060.500000,105600
2013-08-07,2056.366943,2069.561035,2043.750000,2046.777954,2046.777954,107700
2013-08-08,2044.436035,2058.561035,2037.250977,2044.895020,2044.895020,84100
2013-08-09,2052.243896,2061.708008,2030.126953,2052.235107,2052.235107,95300
2013-08-12,2058.416016,2102.346924,2055.715088,2101.282959,2101.282959,135100
2013-08-13,2101.323975,2106.395996,2093.795898,2106.156006,2106.156006,117700
2013-08-14,2109.225098,2122.965088,2093.042969,2100.136963,2100.136963,114400
2013-08-15,2099.279053,2108.405029,2079.968994,2081.879883,2081.879883,99400
2013-08-16,2075.982910,2198.847900,2061.654053,2068.451904,2068.451904,153100
2013-08-19,2055.127930,2091.132080,2052.702881,2085.602051,2085.602051,97400
2013-08-20,2081.965088,2098.979980,2066.072021,2072.594971,2072.594971,107400
2013-08-21,2076.270996,2076.316895,2056.913086,2072.960938,2072.960938,87400
2013-08-22,2069.312988,2083.333008,2062.366943,2067.124023,2067.124023,90900
2013-08-23,2075.928955,2079.845947,2029.364990,2057.458008,2057.458008,112400
2013-08-26,2061.416992,2097.343018,2056.133057,2096.474121,2096.474121,119900
2013-08-27,2095.439941,2105.375000,2090.425049,2103.565918,2103.565918,126400
2013-08-28,2092.311035,2113.815918,2080.861084,2101.301025,2101.301025,161400
2013-08-29,2108.436035,2110.894043,2088.236084,2097.227051,2097.227051,133200
2013-08-30,2097.217041,2114.393066,2089.094971,2098.382080,2098.382080,170000
2013-09-02,2104.090088,2108.683105,2078.455078,2098.447998,2098.447998,149200
2013-09-03,2100.448975,2123.845947,2095.455078,2123.112061,2123.112061,138800
2013-09-04,2121.679932,2132.996094,2115.752930,2127.617920,2127.617920,142000
2013-09-05,2125.254883,2127.854980,2115.236084,2122.429932,2122.429932,126500
2013-09-06,2119.333008,2143.243896,2119.020996,2139.992920,2139.992920,143200
2013-09-09,2151.346924,2218.529053,2151.346924,2212.516113,2212.516113,219400
2013-09-10,2214.813965,2238.551025,2202.815918,2237.983887,2237.983887,237200
2013-09-11,2244.961914,2258.074951,2233.002930,2241.268066,2241.268066,244300
2013-09-12,2236.170898,2270.268066,2226.288086,2255.604004,2255.604004,209700
2013-09-13,2251.461914,2259.424072,2228.482910,2236.217041,2236.217041,172000
2013-09-16,2244.462891,2248.470947,2226.170898,2231.400879,2231.400879,154800
2013-09-17,2230.387939,2230.927979,2184.922119,2185.560059,2185.560059,154500
2013-09-18,2185.936035,2195.904053,2172.042969,2191.851074,2191.851074,115100
2013-09-23,2199.361084,2223.068115,2198.335938,2221.043945,2221.043945,133200
2013-09-24,2219.467041,2219.542969,2187.236084,2207.531006,2207.531006,160400
2013-09-25,2206.225098,2217.974121,2193.721924,2198.514893,2198.514893,160200
2013-09-26,2192.226074,2192.226074,2154.720947,2155.809082,2155.809082,140400
2013-09-27,2150.960938,2165.777100,2149.593994,2160.027100,2160.027100,105400
2013-09-30,2167.733887,2176.302979,2165.162109,2174.665039,2174.665039,92800
2013-10-08,2171.904053,2200.018066,2161.489014,2198.198975,2198.198975,126700
2013-10-09,2191.392090,2212.346924,2185.180908,2211.769043,2211.769043,130900
2013-10-10,2214.405029,2214.592041,2186.479980,2190.928955,2190.928955,149800
2013-10-11,2201.408936,2228.871094,2200.530029,2228.145996,2228.145996,156900
2013-10-14,2232.218018,2242.983887,2226.403076,2237.772949,2237.772949,166000
2013-10-15,2237.930908,2240.250000,2221.138916,2233.412109,2233.412109,153700
2013-10-16,2228.113037,2228.113037,2183.403076,2193.073975,2193.073975,154600
2013-10-17,2201.709961,2211.030029,2183.246094,2188.541992,2188.541992,126800
2013-10-18,2188.714111,2203.291016,2184.360107,2193.780029,2193.780029,103700
2013-10-21,2198.114014,2230.284912,2190.394043,2229.237061,2229.237061,136700
2013-10-22,2227.341064,2227.341064,2204.243896,2210.652100,2210.652100,149100
2013-10-23,2213.273926,2226.846924,2177.725098,2183.106934,2183.106934,146300
2013-10-24,2178.820068,2183.412109,2159.871094,2164.322021,2164.322021,103000
2013-10-25,2163.688965,2170.612061,2122.677979,2132.955078,2132.955078,113900
2013-10-28,2135.878906,2140.957031,2123.069092,2133.868896,2133.868896,88400
2013-10-29,2135.226074,2163.656982,2093.197021,2128.864014,2128.864014,143100
2013-10-30,2126.689941,2161.935059,2121.841064,2160.462891,2160.462891,119600
2013-10-31,2155.510986,2155.510986,2137.466064,2141.614014,2141.614014,108100
2013-11-01,2139.879883,2157.312988,2132.628906,2149.562012,2149.562012,89100
2013-11-04,2156.086914,2160.577881,2143.207031,2149.634033,2149.634033,76100
2013-11-05,2139.836914,2158.147949,2124.844971,2157.239990,2157.239990,91900
2013-11-06,2149.389893,2166.170898,2138.780029,2139.606934,2139.606934,100500
2013-11-07,2136.626953,2141.600098,2119.186035,2129.399902,2129.399902,81800
2013-11-08,2120.923096,2128.581055,2103.510010,2106.126953,2106.126953,83100
2013-11-11,2103.299072,2117.280029,2093.625977,2109.470947,2109.470947,69700
2013-11-12,2110.724121,2127.937988,2108.395996,2126.771973,2126.771973,79400
2013-11-13,2117.885986,2117.912109,2086.006104,2087.940918,2087.940918,88300
2013-11-14,2087.118896,2102.379883,2078.988037,2100.506104,2100.506104,83800
2013-11-15,2100.899902,2153.212891,2100.785889,2135.826904,2135.826904,125900
2013-11-18,2147.373047,2198.315918,2143.768066,2197.218994,2197.218994,157500
2013-11-19,2198.318115,2203.295898,2186.114014,2193.125000,2193.125000,125000
2013-11-20,2201.474121,2207.104980,2186.642090,2206.613037,2206.613037,119000
2013-11-21,2197.008057,2206.531006,2177.735107,2205.766113,2205.766113,137200
2013-11-22,2206.469971,2211.065918,2188.767090,2196.377930,2196.377930,113800
2013-11-25,2186.058105,2209.147949,2181.417969,2186.114990,2186.114990,108300
2013-11-26,2184.332031,2192.579102,2176.177002,2183.072998,2183.072998,100500
2013-11-27,2181.725098,2207.616943,2176.846924,2201.070068,2201.070068,115400
2013-11-28,2204.377930,2234.386963,2202.623047,2219.372070,2219.372070,134500
2013-11-29,2221.617920,2224.944092,2212.262939,2220.503906,2220.503906,107000
2013-12-02,2203.122070,2231.920898,2172.633057,2207.371094,2207.371094,174300
2013-12-03,2196.823975,2227.925049,2193.250977,2222.669922,2222.669922,113500
2013-12-04,2219.965088,2260.871094,2215.916016,2251.761963,2251.761963,157300
2013-12-05,2252.722900,2255.260986,2239.144043,2247.062988,2247.062988,122000
2013-12-06,2242.562988,2248.146973,2228.632080,2237.107910,2237.107910,103700
