look_back|batch_size|percent
7|20|55.44041450777202
7|25|55.44041450777202
7|30|53.10880829015544
7|35|55.69948186528497
7|40|54.66321243523316
7|45|54.40414507772021
7|50|53.626943005181346
7|60|54.40414507772021
7|70|53.36787564766839
7|80|54.66321243523316
7|90|54.66321243523316
7|100|56.21761658031088
7|110|52.84974093264249
7|120|53.36787564766839
7|130|53.626943005181346
7|140|53.36787564766839
7|150|53.36787564766839
7|160|53.36787564766839
7|170|53.626943005181346
7|180|53.626943005181346
7|190|53.626943005181346
7|200|53.10880829015544
7|220|53.626943005181346
7|240|53.10880829015544
7|260|53.626943005181346
7|280|52.33160621761658
7|300|53.10880829015544
7|320|53.10880829015544
7|340|52.590673575129536
7|360|52.33160621761658
7|380|53.36787564766839
7|400|51.55440414507772
7|420|52.84974093264249
7|440|53.626943005181346
7|460|52.33160621761658
7|480|52.84974093264249
